Country Name,Year,Ind 1,Ind 2,Ind 3,Ind 4,Ind 5,Ind 6,Ind 7,Ind 8,Ind 9,Ind 10,Ind 11,Ind 12,Ind 13,Ind 14,Ind 15,Ind 16,Ind 17,Ind 18,Ind 19,Ind 20,Ind 21,Ind 22,Ind 23,Ind 24,Ind 25,Ind 26,Ind 27,Ind 28,Ind 29,Ind 30,Ind 31,Ind 32,Ind 33,Happiness Score
Channel Islands,2015,100,90.89,2.673,1.281,4.411,21.565,47.05016074,9.388,16.265,23.636,52.33,42.383,8.966,33.528,35.337,26.769,10.04,2.60059E+12,3.065,20.026,91.096,3.06,13.885,31.408,163758,16.5696,23.4515,29.283,197.9999924,16.878,85.25,8.223,281.99,5.421
Chile,2015,99.714844,91.63367,3.135341909,2.270883492,4.57,21.95881464,45.47048627,13.437,16.265,23.636,52.33,42.383,6.066,25.61475,29.36544,21.64380452,0.00146849,2.44E+11,2.305257138,23.56085197,99.35394,0.334289777,5.3,7.9,17762681,19.44185,18.3778,24.88255427,756096.0156,17.43801408,58.95284382,8.223,281.99,6.67
China,2015,100,90.89,6.89918282,6.357366539,1.79,48.57642187,37.66849215,12.07,16.265,23.636,52.33,42.383,7.11,33.528,35.337,16.42522188,0.00793736,1.11E+13,6.900204817,47.42538075,91.096,3.06,5.5,10.8,1371220000,13.81544,16.29441,12.41335257,9562911.25,9.374282116,39.45306552,8.223,281.99,5.14
Colombia,2015,98.186898,93.16819,4.370075327,3.424841668,3.42476124,18.88678957,45.61503923,15.479,16.265,23.636,52.33,42.383,5.942,36.72368,35.40608,27.52610002,4.00888828,2.93E+11,2.955945907,16.7133512,98.53473,2.01168766,8.6,15.7,48228697,26.47999,24.23937,23.56475752,1141748.984,14.99424413,38.36076412,8.298999786,281.99,6.477
Comoros,2015,75.38071442,90.89,9.203971772,6.670051483,4.31387796,21.565,75.54701507,33.334,16.265,23.636,52.33,42.383,7.49,54.61209,27.69313,26.769,10.07298782,9.88E+08,1.099964632,-3.093096313,91.096,3.06,33.1,73.2,777424,16.5696,23.4515,45.33305239,1861.000061,16.878,36.9437708,8.223,281.99,3.956
"Congo, Dem. Rep.",2015,16.41916466,90.89,9.933890368,6.364835018,2.06,14.40807745,97.47931351,42.809,16.265,23.636,52.33,42.383,10.187,33.528,35.337,26.769,39.27082859,37917704900,6.91618781,15.68433426,91.096,13.73232483,30,97.6,76196619,14.24161,33.19793,95.81769971,2344860,16.878,59.33243096,8.223,281.99,5.421
"Congo, Rep.",2015,60.4,90.89,42.44676826,38.89541363,2.52,11.26892645,84.48046589,35.234,16.265,23.636,52.33,42.383,7.556,33.528,35.337,26.769,11.12141493,8553154580,2.646485877,13.77818157,91.096,10.30558495,20.3,51.3,4995648,16.5696,23.4515,62.40211902,342000,16.878,165.6458629,8.223,281.99,5.421
Costa Rica,2015,99.409804,96.51653,5.814003478,4.707478017,7.071508844,15.49926507,45.36932444,14.525,16.265,23.636,52.33,42.383,4.882,36.83827,33.68089,29.42334494,0.01413609,54775994478,3.631731441,17.56440464,91.096,-5.090966374,6.1,9.4,4807852,13.9521,12.6763,38.73341388,51100,13.65709299,62.5182964,8.223,281.99,7.226
Cote d'Ivoire,2015,64.0861969,77.70366,-8.492612497,-10.77796163,4.886152466,28.79103508,83.78159735,37.099,5.425809628,12.0492275,32.8626698,27.22926329,12.539,41.4065,34.19866,18.59805612,26.34279941,39633467836,8.842865442,23.57490268,91.096,9.625976312,34.6,94.9,23108472,16.5696,42.0505,64.52802565,322460,15.44802829,71.96487785,8.223,281.99,5.421
Croatia,2015,100,98.34581,3.546512741,4.403364492,4.525385527,24.57565539,50.85491909,8.9,16.265,23.636,52.33,42.383,12.9,33.528,35.337,26.769,0.01213789,49490142433,2.400591883,22.37304177,91.096,4.604797884,3.1,4.8,4203604,7.03333,13.702,33.12746664,56590,16.878,93.90497452,16.17519951,281.99,5.759
Cuba,2015,100,95.46157,2.673,1.281,13.01,21.565,43.25307331,10.966,16.265,23.636,52.33,42.383,7.898,33.528,35.337,26.769,10.04,87133000000,4.438141959,12.07005383,91.096,6.284112701,2.4,5.6,11461432,9.03784,8.89917,19.28132064,109880,16.878,31.61373991,2.400000095,281.99,5.421
Curacao,2015,100,90.89,2.673,1.281,4.411,21.565,52.35555641,11.9,16.265,23.636,52.33,42.383,8.8,33.528,35.337,26.769,10.04,2.60059E+12,3.065,20.026,91.096,3.06,13.885,31.408,157980,16.5696,23.4515,0.347766268,444,16.878,85.25,11.71000004,281.99,5.421
Cyprus,2015,100,97.82834,7.443564289,7.44339567,6.195927866,12.70479294,42.30460443,10.984,16.265,23.636,52.33,42.383,6.842,32.20746,41.3118,38.75178772,1.34005482,19680625485,1.96230401,14.39956678,91.096,5.733029936,1.7,2.9,1160985,10.35338,11.91513,9.942066016,9250,24.09047212,128.8232516,14.90839958,281.99,5.689
Czech Republic,2015,100,90.89,2.673,1.281,3.92681744,29.17360895,49.53330302,10.5,16.265,23.636,52.33,42.383,10.5,13.28089,29.80452,33.4067122,10.04,1.87E+11,5.309238519,33.95451874,91.096,5.204557868,1.6,3.1,10546059,16.5696,23.4515,14.82856195,78870,14.55582215,156.0998637,5.04640007,281.99,6.505
Denmark,2015,100,98.69377,1.822023913,1.105263516,7.831895677,27.91040882,55.98335953,10.2,16.265,23.636,52.33,42.383,9.2,33.528,35.337,40.6432711,10.04,3.01E+11,1.606608994,27.26120167,91.096,0.904029111,3.1,4.2,5683483,16.5696,23.4515,33.17027717,42920,33.94594664,104.0589352,6.168300152,281.99,7.527
Djibouti,2015,52.02577591,55.59274,2.673,1.281,7.431942208,21.565,56.51368251,23.35,16.265,23.636,52.33,42.383,8.365,33.528,35.337,26.769,23.01421265,1633741923,9.683798116,14.49811024,91.096,-7.320461326,33.9,65.7,927414,22.77297,33.02204,15.38059522,23200,16.878,107.5167473,8.223,281.99,4.369
Dominica,2015,99.90296936,90.89,2.673,1.281,5,21.565,58.786,20.65,16.265,23.636,52.33,42.383,7.73,45.82869,43.3707,26.769,2.83788909,5.41E+08,-2.550500001,20.026,91.096,-9.507332665,25.1,31.2,73162,10.69423,14.00558,7.82979664,750,16.878,107.713772,8.223,281.99,5.421
Dominican Republic,2015,98.560364,88.74777,10.52825756,9.241713956,2.519252247,22.46326501,57.75736991,20.513,16.265,23.636,52.33,42.383,6.081,33.528,35.337,15.72550524,7.30715349,68802092021,7.033371069,17.67223376,97.61406,4.116277636,21.2,31.6,10528394,22.09344,18.29098,16.48010921,48670,13.24999603,53.9379181,8.223,281.99,4.885
Ecuador,2015,98.825883,97.96475,0.404303793,-1.09610432,3.93,24.92642325,55.57780554,20.477,16.265,23.636,52.33,42.383,5.127,23.25516,12.11141,26.769,0.39630956,99290381000,0.098872608,24.14266393,99.1262,-0.807951651,7.9,15.1,16144368,23.02677,24.70055,13.81668594,256370,16.878,45.24387715,3.615700006,281.99,5.975
"Egypt, Arab Rep.",2015,100,90.89,8.702320665,6.42390204,4.4111256,9.734530738,61.81251913,27.202,16.265,23.636,52.33,42.383,5.963,33.528,35.337,30.23036949,0.25403176,3.33E+11,4.372019078,5.81038504,91.096,3.056708795,12.5,23.7,93778172,16.5696,23.4515,5.709377265,1001450,12.5192111,34.84594296,13.05220032,281.99,5.421
El Salvador,2015,95.4,87.0022,3.170201726,2.658818963,3.469683748,10.78788789,56.83549223,18.69,16.265,23.636,52.33,42.383,6.691,40.6445,31.77691,23.03077139,2.10135279,23166030400,2.377629105,-2.491318495,97.94933,3.31118223,7.6,15.5,6312478,30.84663,29.69441,24.40076999,21040,16.94953528,76.11860856,3.999900103,111.345097,6.13
Equatorial Guinea,2015,67.47374725,44.20394,-6.670359224,-10.32012704,1,21.565,67.54984918,34.635,16.265,23.636,52.33,42.383,10.344,33.528,35.337,8.781242806,1.45389143,13180195435,-9.110041149,39.14034138,91.096,-10.18504474,32,96,1175389,16.5696,23.22706,7.822799777,28050,11.46403695,98.87805917,8.223,281.99,5.421
Eritrea,2015,45.51332092,42.63529,2.673,1.281,1.72,21.565,58.786,32.826,16.265,23.636,52.33,42.383,7.071,33.528,35.337,26.769,24.65272752,2.60059E+12,3.065,20.026,91.096,3.06,18.6,46.1,300163326.1,38.88105,43.33621,79.7674723,117600,16.878,85.25,8.223,281.99,5.421
Estonia,2015,100,93.56631,1.820439985,1.753715983,5.109633073,27.46132529,53.73333707,10.6,16.265,23.636,52.33,42.383,11.6,23.86188,25.89992,36.5938183,0.20767306,22566956982,1.674286623,27.81718611,91.096,1.982275813,1.4,3.1,1315407,16.5696,23.4515,27.47683347,45340,21.97019919,153.2102328,6.186600208,281.99,5.429
Eswatini,2015,62.99454498,76.2815,3.620679004,1.742010124,6.716743223,27.30715853,68.79343771,29.27,16.265,23.636,52.33,42.383,9.861,33.528,35.337,26.769,15.74564662,4020275298,0.391128861,6.686895494,91.096,1.500417179,18.2,57.8,1319011,15.79598,27.58272,66.10465921,17360,16.878,99.73879374,8.223,281.99,5.421
Ethiopia,2015,33.41859055,86.01903,9.279960122,6.537639444,2.88,29.66242992,82.12000394,32.299,16.265,23.636,52.33,42.383,6.997,27.45268,18.13888,26.769,15.30130949,64464547915,10.39246302,19.74177603,91.096,18.22264406,30.8,64.2,99873033,16.5696,23.4515,92.16346114,1104300,16.878,39.65612414,8.223,281.99,4.512
Faroe Islands,2015,100,90.89,2.673,1.281,4.411,21.565,58.786,12.4,16.265,23.636,52.33,42.383,7.7,33.528,35.337,26.769,10.04,2476746087,3.065,20.026,91.096,3.06,13.885,31.408,48965,16.5696,23.4515,7.513580492,1396.000061,16.878,85.25,8.223,281.99,5.421
Fiji,2015,97.11949158,98.02939,2.673,1.281,3.955081788,14.05801151,52.84820699,19.744,16.265,23.636,52.33,42.383,6.992,33.528,35.337,28.18643453,2.79194795,4362128146,3.844407023,17.84262295,91.096,2.640552532,10.1,24.6,892149,16.5696,23.4515,31.26394709,18270,25.48247327,105.5114754,8.223,281.99,5.421
Finland,2015,100,99.19243,1.949719021,1.614465514,6.655476815,20.03323117,57.86572661,10.1,16.265,23.636,52.33,42.383,9.6,20.24408,37.46822,40.58033244,0.00106115,2.32E+11,0.135082255,20.29875384,91.096,-1.313785899,1.7,2.4,5479531,16.5696,23.4515,43.23526259,338446.0156,20.67899468,73.45995305,9.375900269,281.99,7.406
France,2015,100,98.98406,2.361312041,1.935111472,4.945691772,20.46027532,59.24474362,12,16.265,23.636,52.33,42.383,8.9,20.71524,43.40305,48.40463567,0,2.44E+12,1.067461647,22.14587488,91.096,1.106481297,2.4,4.2,66593366,16.5696,23.4515,13.49926232,549086.9922,23.18170405,61.75169393,10.3593998,281.99,6.575
French Polynesia,2015,100,90.89,2.673,1.281,0.499851816,21.565,45.26270637,15.58,16.265,23.636,52.33,42.383,5.365,33.528,35.337,26.769,10.04,2.60059E+12,3.065,20.026,91.096,3.06,13.885,31.408,277690,16.5696,23.4515,9.829154767,4000,16.878,85.25,8.223,281.99,5.421
Gabon,2015,90.30747223,90.89,8.145516991,5.094072875,3.06,21.565,67.43712569,30.089,16.265,23.636,52.33,42.383,7.818,33.528,35.337,26.769,0.82101428,14377324798,3.878899395,47.34519184,91.096,-1.604686965,22.5,52.5,1930175,16.5696,23.4515,82.00784369,267670,16.878,73.94978146,8.223,281.99,3.896
"Gambia, The",2015,46.48666382,74.02627,2.673,1.281,2.66,4.609062225,92.30335385,39.987,16.265,23.636,52.33,42.383,8.202,33.528,35.337,26.769,27.82363016,1394149615,5.868247652,20.026,91.096,0.878307603,28.9,67.9,1977590,16.5696,37.14288,51.50886249,11300,16.878,48.07995631,8.223,281.99,5.421
Georgia,2015,99.99349976,99.61905,3.388265878,3.663626733,1.76,19.77261155,49.99084019,13.795,16.265,23.636,52.33,42.383,13.252,33.528,35.337,25.68999294,2.54069075,13993546748,2.880318815,13.97191024,91.096,-1.159103017,7.9,12.1,3717100,7.24706,9.01662,28.66253881,69700,23.77410771,107.0081835,14.07999992,281.99,4.297
